gate_id,gate_name,domain,priority,block_release,control_index,control,required_evidence
G00,Governance and effective control plane,governance,P0,True,1,API-read every applicable ruleset and required workflow.,effective_rulesets.json; required_checks.json; ruleset_diff.json; control-plane receipt
G00,Governance and effective control plane,governance,P0,True,2,Strict up-to-date checks for T0/T1; no bypass or direct-main writes.,effective_rulesets.json; required_checks.json; ruleset_diff.json; control-plane receipt
G00,Governance and effective control plane,governance,P0,True,3,Squash-only promotion; signed commits/tags; thread resolution.,effective_rulesets.json; required_checks.json; ruleset_diff.json; control-plane receipt
G00,Governance and effective control plane,governance,P0,True,4,Independent non-author approval when available; expiring SOLO_OPERATOR_EXCEPTION otherwise.,effective_rulesets.json; required_checks.json; ruleset_diff.json; control-plane receipt
G00,Governance and effective control plane,governance,P0,True,5,Policy-as-code test fails when intended and effective rulesets diverge.,effective_rulesets.json; required_checks.json; ruleset_diff.json; control-plane receipt
G01,"Clean clone, deterministic build, and repository hygiene",build,P0,True,1,One package manager/lockfile per workspace.,clean_clone.json; build_manifest.json; artifact_digest.json; reproducibility_diff.json
G01,"Clean clone, deterministic build, and repository hygiene",build,P0,True,2,Clean-clone install/build/test with deterministic generated files.,clean_clone.json; build_manifest.json; artifact_digest.json; reproducibility_diff.json
G01,"Clean clone, deterministic build, and repository hygiene",build,P0,True,3,No unmanaged large binaries or build output in Git.,clean_clone.json; build_manifest.json; artifact_digest.json; reproducibility_diff.json
G01,"Clean clone, deterministic build, and repository hygiene",build,P0,True,4,Actions and container bases are immutable pinned.,clean_clone.json; build_manifest.json; artifact_digest.json; reproducibility_diff.json
G01,"Clean clone, deterministic build, and repository hygiene",build,P0,True,5,"Build manifest binds source, toolchain, locks, and artifact digest.",clean_clone.json; build_manifest.json; artifact_digest.json; reproducibility_diff.json
G02,"Static quality, typing, architecture, and maintainability",code_quality,P0,True,1,"Format, lint, typecheck, dependency boundaries, dead code, generated-code drift.",quality_results.json; test_aggregate.json; dependency_graph.json; flaky_test_register.json
G02,"Static quality, typing, architecture, and maintainability",code_quality,P0,True,2,No T0/T1 circular dependencies.,quality_results.json; test_aggregate.json; dependency_graph.json; flaky_test_register.json
G02,"Static quality, typing, architecture, and maintainability",code_quality,P0,True,3,"Risk-critical authorization, tenancy, receipt, approval, rollback paths have direct tests.",quality_results.json; test_aggregate.json; dependency_graph.json; flaky_test_register.json
G02,"Static quality, typing, architecture, and maintainability",code_quality,P0,True,4,Flaky tests have owner/expiry; retries collect evidence but never turn nondeterminism green.,quality_results.json; test_aggregate.json; dependency_graph.json; flaky_test_register.json
G02,"Static quality, typing, architecture, and maintainability",code_quality,P0,True,5,One production:verify command emits a machine aggregate.,quality_results.json; test_aggregate.json; dependency_graph.json; flaky_test_register.json
G03,Frontend functional and journey verification,frontend,P0,True,1,"Playwright on Chromium, Firefox, WebKit.",playwright-report; browser-matrix.json; visual-diff.json; trace-bundles
G03,Frontend functional and journey verification,frontend,P0,True,2,Desktop/tablet and 390/375/320px viewports.,playwright-report; browser-matrix.json; visual-diff.json; trace-bundles
G03,Frontend functional and journey verification,frontend,P0,True,3,"No uncaught errors, console errors, critical request failures, mixed content, broken links, or unexpected redirects.",playwright-report; browser-matrix.json; visual-diff.json; trace-bundles
G03,Frontend functional and journey verification,frontend,P0,True,4,Visual regression masks only declared dynamic regions.,playwright-report; browser-matrix.json; visual-diff.json; trace-bundles
G03,Frontend functional and journey verification,frontend,P0,True,5,"Failed CI retains trace, screenshots, video, DOM, network, and exact revision.",playwright-report; browser-matrix.json; visual-diff.json; trace-bundles
G04,Accessibility WCAG 2.2 AA,frontend,P0,True,1,Zero critical/serious axe violations and blocking Lighthouse accessibility.,axe-results.json; wcag22-checklist.json; manual-a11y-witness.md; lighthouse-results.json
G04,Accessibility WCAG 2.2 AA,frontend,P0,True,2,"Manual keyboard, focus, escape, screen-reader, zoom/reflow, reduced-motion and contrast review.",axe-results.json; wcag22-checklist.json; manual-a11y-witness.md; lighthouse-results.json
G04,Accessibility WCAG 2.2 AA,frontend,P0,True,3,"Accessible names, skip links, target sizes, labels, live regions.",axe-results.json; wcag22-checklist.json; manual-a11y-witness.md; lighthouse-results.json
G04,Accessibility WCAG 2.2 AA,frontend,P0,True,4,Maps/3D have equivalent table/list summaries.,axe-results.json; wcag22-checklist.json; manual-a11y-witness.md; lighthouse-results.json
G04,Accessibility WCAG 2.2 AA,frontend,P0,True,5,"Current audit records route, browser and assistive-technology scope.",axe-results.json; wcag22-checklist.json; manual-a11y-witness.md; lighthouse-results.json
G05,Frontend performance and user experience,frontend,P0,True,1,"Field p75: LCP <=2.5s, INP <=200ms, CLS <=0.1 by device class.",rum-vitals.json; lighthouse-production.json; bundle-analysis.json; performance-budget.json
G05,Frontend performance and user experience,frontend,P0,True,2,Production-build Lighthouse with at least three diagnostic runs.,rum-vitals.json; lighthouse-production.json; bundle-analysis.json; performance-budget.json
G05,Frontend performance and user experience,frontend,P0,True,3,No synchronous 3D/map/model inventory in the first fold.,rum-vitals.json; lighthouse-production.json; bundle-analysis.json; performance-budget.json
G05,Frontend performance and user experience,frontend,P0,True,4,Route JS/CSS/image/font budgets and regression limits.,rum-vitals.json; lighthouse-production.json; bundle-analysis.json; performance-budget.json
G05,Frontend performance and user experience,frontend,P0,True,5,"Performance, best practices and SEO become blocking after baseline remediation.",rum-vitals.json; lighthouse-production.json; bundle-analysis.json; performance-budget.json
G06,"Content design, information architecture, and truth",frontend,P0,True,1,"Product first fold states buyer, problem, Lyte outcome, proof and CTA.",content-contract.json; claims-diff.json; route-role-map.json; freshness-report.json
G06,"Content design, information architecture, and truth",frontend,P0,True,2,"Console, investor, estate, verifier, trust and research routes are separate.",content-contract.json; claims-diff.json; route-role-map.json; freshness-report.json
G06,"Content design, information architecture, and truth",frontend,P0,True,3,a11oy.net is proof-first; Hugging Face is artifact-first.,content-contract.json; claims-diff.json; route-role-map.json; freshness-report.json
G06,"Content design, information architecture, and truth",frontend,P0,True,4,No stale counts/status/product names or unsupported parity claims.,content-contract.json; claims-diff.json; route-role-map.json; freshness-report.json
G06,"Content design, information architecture, and truth",frontend,P0,True,5,Changing claims are generated with source and freshness.,content-contract.json; claims-diff.json; route-role-map.json; freshness-report.json
G07,"API contracts, validation, and compatibility",backend,P0,True,1,Canonical OpenAPI/JSON Schema and breaking-change diff.,openapi.json; api-breakage-report.json; contract-tests.xml; fault-injection.json
G07,"API contracts, validation, and compatibility",backend,P0,True,2,"Strict request/response validation, bounded bodies and pagination.",openapi.json; api-breakage-report.json; contract-tests.xml; fault-injection.json
G07,"API contracts, validation, and compatibility",backend,P0,True,3,Stable error code plus request/trace/error IDs and source revision.,openapi.json; api-breakage-report.json; contract-tests.xml; fault-injection.json
G07,"API contracts, validation, and compatibility",backend,P0,True,4,Idempotency for mutations; safe timeout/cancel/retry/backoff/circuit breaker/bulkhead.,openapi.json; api-breakage-report.json; contract-tests.xml; fault-injection.json
G07,"API contracts, validation, and compatibility",backend,P0,True,5,Identity/tenant/operation-aware rate limits and tested deprecation windows.,openapi.json; api-breakage-report.json; contract-tests.xml; fault-injection.json
G08,"Identity, tenancy, authorization, and data protection",backend_security,P0,True,1,"Verify explicitly, least privilege, short-lived credentials, deny by default.",authorization-matrix.json; tenant-isolation-tests.json; asvs-verification.json; redaction-tests.json
G08,"Identity, tenancy, authorization, and data protection",backend_security,P0,True,2,"Tenant identity propagates through data, retrieval, cache, model/tool, receipt and telemetry.",authorization-matrix.json; tenant-isolation-tests.json; asvs-verification.json; redaction-tests.json
