repository,visibility,archived,size_kb,production_tier,production_policy,target_class,target,action,priority,source_url
szl-holdings/platform,public,False,694880,T0,full blocking production gate,PUBLIC_FRONT_DOOR,Commercial applications monorepo; slim and remove incubator products from default build/navigation,KEEP_AND_HARDEN,P0,https://github.com/szl-holdings/platform
szl-holdings/.github,public,False,11341,T0,full blocking production gate,PUBLIC_FRONT_DOOR,"Organization profile, governance, reusable policy and workflow authority",KEEP_AND_HARDEN,P0,https://github.com/szl-holdings/.github
szl-holdings/a11oy,public,False,45799,T0,full blocking production gate,PUBLIC_FRONT_DOOR,"Core product, control plane, open verifier/runtime surface",KEEP_AND_HARDEN,P0,https://github.com/szl-holdings/a11oy
szl-holdings/ouroboros,public,False,1286,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,one normative doctrine source plus papers/formal research,MIGRATE_MIRROR_ARCHIVE,P2,https://github.com/szl-holdings/ouroboros
szl-holdings/szl-cookbook,public,False,8520,T1,"blocking build, contract, security, provenance, and release gate",MAINTAINED_TECHNICAL,Clean-machine examples and repeatable investor/contributor demonstrations,KEEP_NOT_PINNED,P1,https://github.com/szl-holdings/szl-cookbook
szl-holdings/szl-trust,public,False,191,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,one normative doctrine source plus papers/formal research,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-trust
szl-holdings/szl-brand,public,False,13919,T2,"classification, security, integrity, migration/archive, and source-binding gate",REVIEW,shared brand package/assets,KEEP_COMPONENT_AND_SLIM,P2,https://github.com/szl-holdings/szl-brand
szl-holdings/lutar-lean,public,False,3927,T1,"blocking build, contract, security, provenance, and release gate",MAINTAINED_TECHNICAL,Formal methods research with exact proof boundaries,KEEP_NOT_PINNED,P1,https://github.com/szl-holdings/lutar-lean
szl-holdings/vsp-otel,public,False,475,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,a11oy/infra or platform/infra,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/vsp-otel
szl-holdings/szl-otel-mesh,public,True,441,T2,"classification, security, integrity, migration/archive, and source-binding gate",ARCHIVE,Immutable archive with successor/tombstone,KEEP_ARCHIVED,P2,https://github.com/szl-holdings/szl-otel-mesh
szl-holdings/szl-uds-deployment,public,True,4484,T2,"classification, security, integrity, migration/archive, and source-binding gate",ARCHIVE,Immutable archive with successor/tombstone,KEEP_ARCHIVED,P2,https://github.com/szl-holdings/szl-uds-deployment
szl-holdings/killinchu,public,False,15196,T0,full blocking production gate,PUBLIC_FRONT_DOOR,Bounded high-stakes reference implementation,KEEP_AND_HARDEN,P0,https://github.com/szl-holdings/killinchu
szl-holdings/docs-site,public,False,6078,T0,full blocking production gate,PUBLIC_FRONT_DOOR,"Canonical product, developer, security, support, and diligence documentation",KEEP_AND_HARDEN,P0,https://github.com/szl-holdings/docs-site
szl-holdings/hatun-mcp,public,False,394,T1,"blocking build, contract, security, provenance, and release gate",MAINTAINED_TECHNICAL,Capability-scoped MCP/A2A integration gateway,KEEP_NOT_PINNED,P1,https://github.com/szl-holdings/hatun-mcp
szl-holdings/uds-bundles,public,True,789,T2,"classification, security, integrity, migration/archive, and source-binding gate",ARCHIVE,Immutable archive with successor/tombstone,KEEP_ARCHIVED,P2,https://github.com/szl-holdings/uds-bundles
szl-holdings/lean-kernel,public,False,160,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,szl-kernels,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/lean-kernel
szl-holdings/developers,public,True,141,T2,"classification, security, integrity, migration/archive, and source-binding gate",ARCHIVE,Immutable archive with successor/tombstone,KEEP_ARCHIVED,P2,https://github.com/szl-holdings/developers
szl-holdings/pitch-collateral,private,False,103,T2,"classification, security, integrity, migration/archive, and source-binding gate",PRIVATE_INTERNAL,"Private operations, diligence, defensive, or incubator plane",KEEP_PRIVATE_AND_CLASSIFY,P0,https://github.com/szl-holdings/pitch-collateral
szl-holdings/khipu-consensus,public,False,153,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,szl-forge models/evals/quantization packages,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/khipu-consensus
szl-holdings/warhacker-demo,public,True,84,T2,"classification, security, integrity, migration/archive, and source-binding gate",ARCHIVE,Immutable archive with successor/tombstone,KEEP_ARCHIVED,P2,https://github.com/szl-holdings/warhacker-demo
szl-holdings/szl-lake,public,False,2279,T1,"blocking build, contract, security, provenance, and release gate",MAINTAINED_TECHNICAL,"Governed data, evidence, lineage, rights, and freshness authority",KEEP_NOT_PINNED,P0,https://github.com/szl-holdings/szl-lake
szl-holdings/szl-mesh,public,False,228,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,a11oy repository packages/services,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-mesh
szl-holdings/szl-fleet-overlay,public,False,214,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,platform apps/modules plus private incubator,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-fleet-overlay
szl-holdings/szl-papers,public,False,2853,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,one normative doctrine source plus papers/formal research,MIGRATE_MIRROR_ARCHIVE,P2,https://github.com/szl-holdings/szl-papers
szl-holdings/szl-build-env,public,False,171,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,a11oy/infra or platform/infra,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-build-env
szl-holdings/szl-doctrine,public,False,436,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,one normative doctrine source plus papers/formal research,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-doctrine
szl-holdings/anatomy,public,False,589,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,one modular Evidence Studio,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/anatomy
szl-holdings/yarqa,public,False,628,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,one research package and one bounded demo,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/yarqa
szl-holdings/szl-router,public,False,255,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,a11oy repository packages/services,MIGRATE_MIRROR_ARCHIVE,P2,https://github.com/szl-holdings/szl-router
szl-holdings/khipu-sda-core,public,False,120,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,one research package and one bounded demo,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/khipu-sda-core
szl-holdings/szl-governed-norm,public,False,104,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,a11oy/packages/evidence plus szl-kernels where computational,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-governed-norm
szl-holdings/szl-lambda-gate,public,False,109,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,a11oy/packages/evidence plus szl-kernels where computational,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-lambda-gate
szl-holdings/szl-energy-attest,public,False,175,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,a11oy/packages/evidence plus szl-kernels where computational,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-energy-attest
szl-holdings/governed-inference-meter,public,False,148,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,a11oy/packages/evidence plus szl-kernels where computational,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/governed-inference-meter
szl-holdings/david-leads,public,False,3562,T2,"classification, security, integrity, migration/archive, and source-binding gate",PRIVATE_INCUBATOR,Private incubator or archive,MOVE_PRIVATE_OR_ARCHIVE,P1,https://github.com/szl-holdings/david-leads
szl-holdings/szl-receipt,public,False,99,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,a11oy/packages/evidence plus szl-kernels where computational,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-receipt
szl-holdings/immune,public,False,628,T2,"classification, security, integrity, migration/archive, and source-binding gate",REVIEW,"package/module, research archive, or private incubator",REVIEW_SCOPE,P2,https://github.com/szl-holdings/immune
szl-holdings/szl-substrate,public,False,2377,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,a11oy repository packages/services,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-substrate
szl-holdings/szl-holdings.github.io,public,False,1047,T0,full blocking production gate,REVIEW,single corporate marketing site,KEEP_ENTRY,P0,https://github.com/szl-holdings/szl-holdings.github.io
szl-holdings/szl-org-health,private,False,295,T2,"classification, security, integrity, migration/archive, and source-binding gate",PRIVATE_INTERNAL,"Private operations, diligence, defensive, or incubator plane",KEEP_PRIVATE_AND_CLASSIFY,P0,https://github.com/szl-holdings/szl-org-health
szl-holdings/governed-receipt-spec,public,False,54,T1,"blocking build, contract, security, provenance, and release gate",MAINTAINED_TECHNICAL,Independent open receipt standard and offline verifier,KEEP_NOT_PINNED,P0,https://github.com/szl-holdings/governed-receipt-spec
szl-holdings/szl-guardrail-receipt,public,False,37,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,a11oy/packages/evidence plus szl-kernels where computational,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-guardrail-receipt
szl-holdings/szl-formula-ledger,public,False,34,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,a11oy/packages/evidence plus szl-kernels where computational,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-formula-ledger
szl-holdings/szl-forge,public,False,977,T1,"blocking build, contract, security, provenance, and release gate",MAINTAINED_TECHNICAL,"One model lifecycle, training, evaluation, quantization, and Hub lineage authority",KEEP_NOT_PINNED,P0,https://github.com/szl-holdings/szl-forge
szl-holdings/energy-attest-holo,public,False,281,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,one modular Evidence Studio,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/energy-attest-holo
szl-holdings/governed-norm-holo,public,False,271,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,one modular Evidence Studio,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/governed-norm-holo
szl-holdings/lambda-gate-holo,public,False,311,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,one modular Evidence Studio,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/lambda-gate-holo
szl-holdings/receipt-chain-live,public,False,251,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,one modular Evidence Studio,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/receipt-chain-live
szl-holdings/szl-provctl-live,public,False,228,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,one modular Evidence Studio,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-provctl-live
szl-holdings/szl-kernels-live,public,False,474,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,one modular Evidence Studio,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-kernels-live
szl-holdings/evidence-typed-formula-governance,public,True,6,T2,"classification, security, integrity, migration/archive, and source-binding gate",ARCHIVE,Immutable archive with successor/tombstone,KEEP_ARCHIVED,P2,https://github.com/szl-holdings/evidence-typed-formula-governance
szl-holdings/fail-closed-governed-ai-services,public,True,3,T2,"classification, security, integrity, migration/archive, and source-binding gate",ARCHIVE,Immutable archive with successor/tombstone,KEEP_ARCHIVED,P2,https://github.com/szl-holdings/fail-closed-governed-ai-services
szl-holdings/szl-quant,public,False,6073,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,szl-forge models/evals/quantization packages,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-quant
szl-holdings/szl-telemetry,public,False,109,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,a11oy/infra or platform/infra,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-telemetry
szl-holdings/szl-quant-witness,public,False,662,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,szl-forge models/evals/quantization packages,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-quant-witness
szl-holdings/a11oy-net,public,False,1286,T0,full blocking production gate,PUBLIC_FRONT_DOOR,Independent proof and transparency registry,KEEP_AND_HARDEN,P0,https://github.com/szl-holdings/a11oy-net
szl-holdings/szl-gpu-bridge,public,False,959,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,a11oy/infra or platform/infra,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/szl-gpu-bridge
szl-holdings/evidence-doctrine,public,False,23,T2,"classification, security, integrity, migration/archive, and source-binding gate",CONSOLIDATION_SOURCE,one normative doctrine source plus papers/formal research,MIGRATE_MIRROR_ARCHIVE,P1,https://github.com/szl-holdings/evidence-doctrine
szl-holdings/gdw-frontier,private,False,407,T2,"classification, security, integrity, migration/archive, and source-binding gate",PRIVATE_INTERNAL,"Private operations, diligence, defensive, or incubator plane",KEEP_PRIVATE_AND_CLASSIFY,P1,https://github.com/szl-holdings/gdw-frontier
